Taxon,Subtaxon,Family,Scientific Name,Common Name,ESA,MESA,IUCN,RSGCN,G-Rank,S-Rank,USFWS,SGCN,BHHA,Priority at-risk Species,Thresholds,CCVA,Threats,Description of Threats,Pop. Trend,Other,CCVA Source,Total # of Conservation Sources,Total # of Climate Sources
Bird,Shorebird,Scolopacidae,Calidris pusilla,Semipalmated sandpiper,NA,NA,NT,H,G5,S5,NA,Y,,N,N,NA,EN;BIO;POL;CC,"Oil & gas drilling, mining & quarrying, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, agricultural & forestry effluents, habitat shifting & alteration, and storms & flooding",Decreasing,NA,NA,4,1
Bird,Seaduck,Anatidae,Melanitta perspicillata,Surf scoter,NA,NA,LC,NA,G5,S5,NA,N,N,N,N,NA,EN;BIO;POL;CC,"Oil & gas drilling, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, industrial & military effluents, and habitat shifting & alteration",Decreasing,NA,NA,3,1
Bird,Seaduck,Anatidae,Somateria spectabilis,King eider,NA,NA,LC,NA,G5,S1,NA,N,N,N,N,NA,EN;BIO;POL;CC,"Oil & gas drilling, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, industrial & military effluents, garbage & solid waste and habitat shifting & alteration",Decreasing,NA,NA,3,1
Bird,Shorebird,Hirundinidae,Riparia riparia,Sand martin,NA,NA,LC,NA,G5,S5,NA,Y,N,N,N,NA,EN;NAT;POL;CC,"Mining & quarrying, dams & water management/use, agricultural & forestry effluents, and droughts",Decreasing,NA,NA,3,1
Mammal,Dolphin,Delphinidae,Orcinus orca,Killer Whale,E,NA,LC,VH,G4,S1,NA,N,N,NA,N,NA,EN;TRA;BIO;DIS;INV;POL;CC,"Oil & gas drilling, shipping lanes, fishing & harvesting aquatic resources, recreational activities, problematic native species/diseases, industrial & military effluents, agricultural & forestry effluents, and habitat shifting & alteration.",Unknown,NA,NA,5,1
Bird,Shorebird,Gaviidae,Gavia stellata,Red-throated loon,NA,NA,LC,NA,G5,S4,NA,Y,N,N,N,NA,EN;TRA;BIO;POL;CC,"Renewable energy, shipping lanes, fishing & harvesting aquatic resources, industrial & military effluents, and habitat shifting & alteration",Decreasing,Highest priority Waterbird Plan,NA,3,1
Bird,Seabird,Hydrobatidae,Oceanites oceanicus,Wilson's storm-petrel,NA,NA,LC,NA,G5,S5,NA,N,N,N,N,NA,INV,Invasive non-native/alien species/diseases,Stable,NA,NA,3,1
Invertebrate,,Viviparidae,Campeloma decisum,Pointed campeloma,NA,NA,LC,NA,G5,SNR,NA,N,N,NA,N,NA,INV,Problematic native species/diseases,Stable,NA,NA,2,1
Bird,Shorebird,Scolopacidae,Arenaria interpres,Ruddy turnstone,NA,NA,LC,VH,G5,S4,19,Y,,Y,N,NA,INV;CC,"Invasive non-native/alien species/diseases, viral/prion-induced diseases, and habitat shifting & alteration",Decreasing,NA,NA,5,1
Algae,,Ulotrichaceae,Acrosiphonia arcta,Green tarantula weed,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ulotrichaceae,Acrosiphonia spinescens,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Solieriaceae,Agardhiella subulata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Agaraceae,Agarum clathratum,Kelp,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ahnfeltiaceae,Ahnfeltia plicata,Landlady's wig,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Alariaceae,Alaria esculenta,"Dabberlocks, winged kelp",NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Fucaceae,Ascophyllum nodosum,Rockweed/Knotted kelp,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Bangiaceae,Bangia atropurpurea,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Sphacelariaceae,Battersia arctica,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Berkeleyaceae,Berkeleya rutilans,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Monostromataceae,Blidingia minima,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Kallymeniaceae,Callocolax neglectus,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ceramiaceae,Ceramium cimbricum,Banded Weed (red alga),NA,NA,NA,NA,NA,NA,NA,N,,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ceramiaceae,Ceramium virgatum,Banded Weed (red alga),NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Cladophoraceae,Chaetomorpha brachygona,Green algae,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Cladophoraceae,Chaetomorpha ligustica,Green algae,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
